window,sector_proxy,start,end,members_used,total_return,ann_return,sharpe,max_drawdown,excess_vs_nikkei
post_2007_crisis_2007_2012,RetailConsumer,2007-07-31,2012-12-31,"3382.T,8267.T,9983.T",0.34688526235304984,0.0565168275642296,0.23803117353829686,-0.3592509221581419,0.7442273921458173
post_2007_crisis_2007_2012,TelecomInternet,2007-07-31,2012-12-31,"9432.T,9433.T,4689.T",-0.10947928451872657,-0.021178471936041388,-0.10745624746664346,-0.4129709829554362,0.28786284527404093
post_2007_crisis_2007_2012,Machinery,2007-07-31,2012-12-31,"6301.T,6367.T,6326.T",-0.14270910180741947,-0.028026466725353028,-0.08649367240507422,-0.6163078904588492,0.25463302798534804
post_2007_crisis_2007_2012,PharmaDefensive,2007-07-31,2012-12-31,"4502.T,4503.T,4519.T",-0.1436973959932163,-0.028233425843735227,-0.15180022755828684,-0.4050247600322483,0.2536447337995512
post_2007_crisis_2007_2012,RealEstate,2007-07-31,2012-12-31,"8801.T,8802.T,8830.T",-0.2131079868263963,-0.043281145161190304,-0.11041915529494434,-0.7093847481920917,0.1842341429663712
post_2007_crisis_2007_2012,Autos,2007-07-31,2012-12-31,"7203.T,7201.T,7267.T,7261.T",-0.376948171955348,-0.08364025762060956,-0.22880906304372284,-0.6666628458354189,0.020393957837419485
post_2007_crisis_2007_2012,TradingCompanies,2007-07-31,2012-12-31,"8058.T,8031.T,8001.T,8002.T",-0.38255514589326756,-0.0851683071271494,-0.26552736613484257,-0.6659440309597111,0.01478698389949995
post_2007_crisis_2007_2012,ElectronicsPrecision,2007-07-31,2012-12-31,"6758.T,6501.T,6702.T,7735.T",-0.502871516369874,-0.12105147314934184,-0.3229627444974862,-0.6929806998613544,-0.10552938657710653
post_2007_crisis_2007_2012,SteelNonferrous,2007-07-31,2012-12-31,"5401.T,5411.T,5713.T,5801.T",-0.6578280280169562,-0.17962133623142773,-0.5195071062480224,-0.7485959290344241,-0.26048589822418866
post_2007_crisis_2007_2012,Banks,2007-07-31,2012-12-31,"8306.T,8316.T,8411.T",-0.6690410849938259,-0.18465219224772234,-0.49954535236010583,-0.7522015117008941,-0.27169895520105836
post_2007_crisis_2007_2012,Securities,2007-07-31,2012-12-31,"8604.T,8601.T",-0.6725133618642098,-0.18623824106524245,-0.41475888170137626,-0.8271036078991877,-0.27517123207144234
post_2007_crisis_2007_2012,Utilities,2007-07-31,2012-12-31,"9501.T,9502.T,9503.T",-0.6770041042999497,-0.18830996153135648,-0.5968106155108247,-0.7996150281996457,-0.2796619745071822
post_gfc_recovery_2009_2012,RealEstate,2009-03-31,2012-12-31,"8801.T,8802.T,8830.T",1.2522693385043615,0.241744046749238,0.6994310412847135,-0.33900913803716215,0.970421936386495
post_gfc_recovery_2009_2012,TradingCompanies,2009-03-31,2012-12-31,"8058.T,8031.T,8001.T,8002.T",0.8017841281550862,0.17000414906991357,0.6853023532706385,-0.2459665489677344,0.5199367260372196
post_gfc_recovery_2009_2012,Machinery,2009-03-31,2012-12-31,"6301.T,6367.T,6326.T",0.7740626923282725,0.16517651754383245,0.627194540237369,-0.2442591531776046,0.492215290210406
post_gfc_recovery_2009_2012,RetailConsumer,2009-03-31,2012-12-31,"3382.T,8267.T,9983.T",0.7524646516376481,0.1613767775403372,0.8601113033216058,-0.20537308766644446,0.47061724951978157
post_gfc_recovery_2009_2012,Autos,2009-03-31,2012-12-31,"7203.T,7201.T,7267.T,7261.T",0.5941679662807746,0.13242405860278916,0.38974944250284294,-0.3229957813363258,0.3123205641629081
post_gfc_recovery_2009_2012,ElectronicsPrecision,2009-03-31,2012-12-31,"6758.T,6501.T,6702.T,7735.T",0.5131233320228918,0.11677706787106978,0.34308444013328326,-0.4490027526127557,0.23127592990502532
post_gfc_recovery_2009_2012,PharmaDefensive,2009-03-31,2012-12-31,"4502.T,4503.T,4519.T",0.3156264557701576,0.07589203610152317,0.5303661460075964,-0.18891148513789036,0.03377905365229106
post_gfc_recovery_2009_2012,TelecomInternet,2009-03-31,2012-12-31,"9432.T,9433.T,4689.T",0.2511988845259019,0.06158235894505526,0.37942517474431325,-0.1276444197446519,-0.03064851759196463
post_gfc_recovery_2009_2012,Securities,2009-03-31,2012-12-31,"8604.T,8601.T",0.1578598094197341,0.0398601321295724,0.09291141476832136,-0.6338150997157008,-0.12398759269813242
post_gfc_recovery_2009_2012,Banks,2009-03-31,2012-12-31,"8306.T,8316.T,8411.T",0.04139108503696676,0.010874003824171696,0.038443345631800296,-0.44593649517398026,-0.24045631708089976
post_gfc_recovery_2009_2012,SteelNonferrous,2009-03-31,2012-12-31,"5401.T,5411.T,5713.T,5801.T",-0.04491413243736808,-0.01217962821449703,-0.037742799274550376,-0.5991423801266011,-0.3267615345552346
post_gfc_recovery_2009_2012,Utilities,2009-03-31,2012-12-31,"9501.T,9502.T,9503.T",-0.6004288121987061,-0.21700598234543444,-0.6008593395835414,-0.7586302078632848,-0.8822762143165727
