window,sector_proxy,start,end,members_used,total_return,ann_return,sharpe,max_drawdown,excess_vs_nikkei
post_it_bubble_2002_2005,TradingCompanies,2002-01-31,2005-12-31,"8058.T,8031.T,8001.T,8002.T",3.1821013580306126,0.4409666473547076,1.5765865639369172,-0.2926387282619981,2.5706038283495216
post_it_bubble_2002_2005,RealEstate,2002-01-31,2005-12-31,"8801.T,8802.T,8830.T",2.5378871594427923,0.3807175502766653,1.1454719585424433,-0.4387478091082203,1.9263896297617014
post_it_bubble_2002_2005,RetailConsumer,2002-01-31,2005-12-31,"3382.T,8267.T,9983.T",2.2471015264758294,0.35081131449318326,1.2056988488038967,-0.23226716129628666,1.6356039967947384
post_it_bubble_2002_2005,Machinery,2002-01-31,2005-12-31,"6301.T,6367.T,6326.T",2.132182386877973,0.3384410409578613,1.717699507569859,-0.18011899304023948,1.520684857196882
post_it_bubble_2002_2005,Banks,2002-01-31,2005-12-31,"8306.T,8316.T,8411.T",1.8758497273237742,0.3095792734428904,0.6113821235106943,-0.7508128664694553,1.2643521976426833
post_it_bubble_2002_2005,TelecomInternet,2002-01-31,2005-12-31,"9432.T,9433.T,4689.T",1.5946590094079136,0.2756238409552798,0.9897655182970102,-0.23952563870248622,0.9831614797268227
post_it_bubble_2002_2005,SteelNonferrous,2002-01-31,2005-12-31,"5401.T,5411.T,5713.T,5801.T",1.5155121930251059,0.26557415804941087,0.9183501809657041,-0.38870687967630635,0.9040146633440149
post_it_bubble_2002_2005,Securities,2002-01-31,2005-12-31,"8604.T,8601.T",1.0299560871432956,0.19813906387803404,0.6152076834924396,-0.44121657662572256,0.4184585574622046
post_it_bubble_2002_2005,Autos,2002-01-31,2005-12-31,"7203.T,7201.T,7267.T,7261.T",0.8383159386444388,0.1681847388866613,0.9342448469383724,-0.28876125547101683,0.22681840896334782
post_it_bubble_2002_2005,PharmaDefensive,2002-01-31,2005-12-31,"4502.T,4503.T,4519.T",0.5846892073592751,0.1247333103239554,0.8506686735859581,-0.2278892381644293,-0.026808322321815847
post_it_bubble_2002_2005,Utilities,2002-01-31,2005-12-31,"9501.T,9502.T,9503.T",0.41030214278178034,0.09174762314934615,0.8040454679973292,-0.09112144574370384,-0.2011953868993106
post_it_bubble_2002_2005,ElectronicsPrecision,2002-01-31,2005-12-31,"6758.T,6501.T,6702.T,7735.T",0.38811433958139063,0.08733631080305959,0.31977614177463615,-0.5369240999546527,-0.2233831900997003
