market,period,months,ann_return,ann_vol,sharpe,max_drawdown,win_rate,calmar,buy_hold_ann_return,excess_ann_return_vs_bh
Nikkei225,1990-2000,132,-0.07487672125624667,0.1250336758102609,-0.5988524353220839,-0.5554623496013181,0.17424242424242425,-0.13480071387374729,-0.09002924872528806,0.015152527469041388
Nikkei225,2001-2012,144,0.009591980197282579,0.11239970568096844,0.08533812556865704,-0.3454770172530983,0.2361111111111111,0.027764452389767633,-0.0232495426464967,0.03284152284377928
Nikkei225,2013-2019,84,0.09083901542212125,0.13663386658454374,0.6648352834684188,-0.22684456857500734,0.44047619047619047,0.4004460675111331,0.12464961678019382,-0.03381060135807257
Nikkei225,2020-2022,36,-0.022276985102221758,0.15708845795372295,-0.1418117243775121,-0.20593960294080482,0.3333333333333333,-0.10817241940893245,0.03323418659092803,-0.055511171693149786
Nikkei225,2023-present,41,0.24183555380802124,0.1952360998669903,1.2386825693239008,-0.13231121697947834,0.5121951219512195,1.8277781682374692,0.2963397569242394,-0.054504203116218175
TOPIX_ETF_1306,1990-2000,0,,,,,,,,
TOPIX_ETF_1306,2001-2012,59,-0.03288394703188935,0.09426818579273984,-0.34883398630571655,-0.2810841331522169,0.06779661016949153,-0.11698969508919786,-0.08624231514185299,0.05335836810996364
TOPIX_ETF_1306,2013-2019,84,0.09242775014511162,0.13428376673854858,0.6883017388473254,-0.21409210849763372,0.4523809523809524,0.4317195565670894,0.11547392073007567,-0.023046170584964054
TOPIX_ETF_1306,2020-2022,36,-0.015478506909456402,0.1416428630568276,-0.10927841033011576,-0.2017005765038915,0.3888888888888889,-0.0767400231459317,0.03676127800608198,-0.05223978491553838
TOPIX_ETF_1306,2023-present,41,-0.38847652794347043,0.5079336392779329,-0.7648174838266668,-0.9100944096111149,0.6585365853658537,-0.4268529988108236,-0.3664728248737388,-0.02200370306973165
TOPIX_ETF_1308,1990-2000,0,,,,,,,,
TOPIX_ETF_1308,2001-2012,59,-0.03134118403181785,0.09492617585194939,-0.3301637693769398,-0.2815408634475618,0.06779661016949153,-0.11132019575430221,-0.08828403219950087,0.056942848167683024
TOPIX_ETF_1308,2013-2019,84,0.0992164867181955,0.13407288866809883,0.74001901282077,-0.21551885092138634,0.4642857142857143,0.4603610602693226,0.12707000675771218,-0.027853520039516688
TOPIX_ETF_1308,2020-2022,36,0.006577029345374186,0.14048170736418755,0.04681769227308553,-0.1890275682438144,0.3888888888888889,0.034794021879871524,0.05614319475065477,-0.04956616540528058
TOPIX_ETF_1308,2023-present,41,0.2363640226080279,0.12597622146312462,1.8762590262100827,-0.10376896720509055,0.7073170731707317,2.2777910291896277,0.2648108148680435,-0.028446792260015563
Growth250_ETF_2516,1990-2000,0,,,,,,,,
Growth250_ETF_2516,2001-2012,0,,,,,,,,
Growth250_ETF_2516,2013-2019,23,0.0,0.0,,0.0,0.0,,-0.17515015834813297,0.17515015834813297
Growth250_ETF_2516,2020-2022,36,-0.017298064770873478,0.17079241196138686,-0.10128122539064711,-0.18847341734520295,0.25,-0.09177986484529432,-0.06522456370744556,0.04792649893657208
Growth250_ETF_2516,2023-present,41,-0.01857665907895001,0.16471870366305558,-0.1127780796341741,-0.3049770901640848,0.24390243902439024,-0.0609116542785405,0.045202660336425726,-0.06377931941537573
SP500_SPY,1990-2000,95,0.15615528404214118,0.1334585144959055,1.1700661035525912,-0.15278496899990934,0.5789473684210527,1.022059205590007,0.16910656438799765,-0.012951280345856464
SP500_SPY,2001-2012,144,0.05950040572590365,0.09313815126328082,0.6388403132214773,-0.17156978230790976,0.4097222222222222,0.3468000304338006,0.026046883361233064,0.033453522364670585
SP500_SPY,2013-2019,84,0.1260046118300555,0.10826303247606393,1.1638747682216837,-0.1353211416890452,0.6904761904761905,0.93115244415837,0.14588686794986438,-0.019882256119808872
SP500_SPY,2020-2022,36,0.051762814399759716,0.18017373573614126,0.2872938954630142,-0.1998134413498155,0.4722222222222222,0.2590557174236242,0.07618483062822756,-0.024422016228467847
SP500_SPY,2023-present,41,0.19810885874774575,0.12324492744775156,1.607440264279696,-0.08325856994143788,0.6097560975609756,2.3794410459738966,0.23094748082580074,-0.03283862207805499
Nasdaq100_QQQ,1990-2000,21,-0.2417740942148725,0.26500940200016027,-0.9123227039874091,-0.42558448435441953,0.09523809523809523,-0.5680989394658644,0.06285017176795904,-0.30462426598283154
Nasdaq100_QQQ,2001-2012,144,0.06607317263967194,0.13551431296225996,0.4875733876027765,-0.2379364059356761,0.3680555555555556,0.27769257243271217,0.014180757661624188,0.05189241497804775
Nasdaq100_QQQ,2013-2019,84,0.20111007733426756,0.13486860788522329,1.4911555808851937,-0.1696773758371931,0.6547619047619048,1.1852498091863135,0.19666433183897136,0.004445745495296194
Nasdaq100_QQQ,2020-2022,36,0.1362756303559487,0.2022529378542983,0.6737881377729147,-0.22417715139110084,0.5,0.6078925952547296,0.08434008015671934,0.05193555019922935
Nasdaq100_QQQ,2023-present,41,0.24227891100110677,0.1573297264023983,1.5399436364710637,-0.10084564845847432,0.5853658536585366,2.402472637189408,0.3441067216964149,-0.10182781069530811
Germany_EWG,1990-2000,57,0.07393813523034054,0.20103795507584965,0.36778197033711574,-0.26755292671166186,0.43859649122807015,0.2763495661926459,0.11983256559868205,-0.04589443036834151
